Week,Title,Date,#,Lecture,Readings,Links,Keywords,Homework,Discussion,Lab,Quiz,Survey
0,Welcome to DSC 10!,Fri 9/25,1,Introduction,CIT 1.0-1.3,https://inferentialthinking.com/chapters/01/what-is-data-science.html,"data science, course structure, policies, syllabus, Little Women demo",,,,,
1,Python Basics,Mon 9/28,2,Expressions and Data Types,BPD 1-6,https://notes.dsc10.com/01-getting_started/tools.html,"Jupyter notebooks, expressions, variables, assignment, functions, int, float",,1. Getting Started with Jupyter Notebooks,,,
,,Tue 9/29,,,,,,,,,,[Welcome Survey](https://docs.google.com/forms/d/e/1FAIpQLScZQ8v8sLWv27L0fklV3iMHQnsHkjn82sbP-xVFDXE0zu9ngQ/viewform?usp=header)
,,Wed 9/30,3,"Strings, Lists, and Arrays","BPD 7-8, CIT 14.1","https://notes.dsc10.com/02-data_sets/arrays.html, https://inferentialthinking.com/chapters/14/1/Properties_of_the_Mean.html#","string methods, mean, median, lists, arrays, array arithmetic",,,,,
,,Thu 10/1,,,,,,,,0. Expressions and Data Types,,
,,Fri 10/2,4,Arrays and DataFrames,BPD 9,https://notes.dsc10.com/02-data_sets/accessing.html,"array methods, np.arange, .read_csv, .get, .assign, .sort_values, .iloc, .loc, index",,,,,
2,DataFrames and Visualization,Mon 10/5,5,Querying and Grouping,BPD 10-11,https://notes.dsc10.com/02-data_sets/querying.html,".set_index, Booleans, querying, .shape, &, |, .take, .groupby, aggregation",,2. Arrays and DataFrames,,,
,,Tue 10/6,,,,,,,,1. Arrays and DataFrames,,
,,Wed 10/7,6,Grouping and Data Visualization,CIT 7.0-7.1,https://inferentialthinking.com/chapters/07/Visualization.html,".groupby, numerical vs. categorical, scatter plot, line plot, bar chart",,,,,
,,Thu 10/8,,,,,,"1. Basic Python, Arrays, and DataFrames",,,,
,,Fri 10/9,7,Distributions and Histograms,CIT 7.2-7.3,https://inferentialthinking.com/chapters/07/2/Visualizing_Numerical_Distributions.html,"distributions, density histograms, binning, total area, overlaid plots",,,,1. Quiz 1 covers Lectures 1-5,
3,Functions and Control Flow,Mon 10/12,8,Functions and Applying,"BPD 6, 12","https://notes.dsc10.com/01-getting_started/functions-defining.html#example, https://notes.dsc10.com/02-data_sets/apply.html","functions, arguments, print vs. return, .apply, .reset_index",,"3. Querying, Grouping, and Plotting",,,
,,Tue 10/13,,,,,,,,2. Data Visualizations and Functions,,
,,Wed 10/14,9,"Grouping on Multiple Columns, Merging","BPD 11, 13","https://notes.dsc10.com/02-data_sets/groupby.html, https://notes.dsc10.com/02-data_sets/merging.html",".groupby([col_1, col_2, …]), subgroups, MultiIndex, .merge, number of rows",,,,,
,,Thu 10/15,,,,,,"2. DataFrames, Data Visualization, and Functions",,,,
,,Fri 10/16,10,Conditional Statements and Iteration,CIT 9.0-9.2,https://inferentialthinking.com/chapters/09/Randomness.html,"in, not, and, or, if, else, elif, for-loops, np.append, accumulator pattern",,,,2. Quiz 2 covers Lectures 6-9,
4,Probability and Simulation,Mon 10/19,11,Probability,CIT 9.5,https://inferentialthinking.com/chapters/09/5/Finding_Probabilities.html,"event, conditional prob., multiplication and addition rules, independence",,"4. Functions, DataFrames, and Control Flow",,,
,,Tue 10/20,,,,,,,,"3. DataFrames, Control Flow, and Probability",,
,,Wed 10/21,12,Simulation,CIT 9.3-9.4,https://inferentialthinking.com/chapters/09/3/Simulation.html,"np.random.choice, replacement, np.count_nonzero, coin flipping, Monty Hall",,,,,
,,Thu 10/22,,,,,,"3. DataFrames, Control Flow, and Probability",,,,
,,Fri 10/23,13,Distributions and Sampling,CIT 10.0-10.4,https://inferentialthinking.com/chapters/10/Sampling_and_Empirical_Distributions.html,"probability vs. empirical distribution, SRS, .sample, parameter, statistic",,,,,
5,Midterm Exam,Mon 10/26,,Midterm Exam covers Lectures 1-12,,,,,5. Midterm Solutions,,,
,,Tue 10/27,,,,,,,,,,Mid-Quarter Survey
,,Wed 10/28,14,Bootstrapping and Confidence Intervals,CIT 13.0-13.2,https://inferentialthinking.com/chapters/13/Estimation.html,"inference, bootstrapping, resample, np.percentile, confidence interval",,,,,
,,Thu 10/29,,,,,,Midterm Project,,,,
,,Fri 10/30,15,"Confidence Intervals, Center, and Spread",CIT 13.3-13.4,https://inferentialthinking.com/chapters/13/3/Confidence_Intervals.html,"interpreting CIs, robust vs. sensitive, center, standard deviation",,,,,
6,Confidence Intervals and the Normal Distribution,Mon 11/2,16,Standardization and the Normal Distribution,CIT 14.2-14.3,https://inferentialthinking.com/chapters/14/2/Variability.html,"Chebyshev, standard units, normal distribution, CDF, inflection points",,"6. Sampling, Bootstrapping, and Confidence Intervals",,,
,,Tue 11/3,,,,,,,,"4. Simulation, Sampling, & Bootstrapping",,
,,Wed 11/4,17,The Central Limit Theorem,CIT 14.4-14.5,https://inferentialthinking.com/chapters/14/4/Central_Limit_Theorem.html,"distribution of the sample mean, square root law, CLT-based CIs",,,,,
,,Thu 11/5,,,,,,"4. Simulation, Sampling, Bootstrapping",,,,
